,ID,Hash Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
93332,47252,0a4bdd9522bc2188761a796d74970369a5d7eef7a1b1888c15122d740978038e,M,21.0,183.0,78.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,
93333,47252,0a4bdd9522bc2188761a796d74970369a5d7eef7a1b1888c15122d740978038e,M,21.0,183.0,78.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,"Swimming Men's 1,500 metres Freestyle",
93342,47255,69a67719d094a4eb28698b377c50f5f5135a460b078bc323a8ee320e4aa67d55,M,28.0,179.0,103.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Hammer Throw,Gold
93345,47258,2ac67850c83a049d3cc4db36fc0a7c3d4e9e4bd2c7ee1119d96c6e6ad466dd27,M,21.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 200 metres Breaststroke,
93355,47263,3d38fdf71e0119a42fc0f0509c9f36a9c45d33e0f1e794b4cbbe15599bab2291,M,32.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Water Polo,Water Polo Men's Water Polo,
93357,47265,fa5b7ab40af31b65207b5136704c38dd68cfadccebb82b5fef835b2f2b33eb83,F,19.0,182.0,71.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 200 metres,Silver
93358,47265,fa5b7ab40af31b65207b5136704c38dd68cfadccebb82b5fef835b2f2b33eb83,F,19.0,182.0,71.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
93359,47265,fa5b7ab40af31b65207b5136704c38dd68cfadccebb82b5fef835b2f2b33eb83,F,24.0,182.0,71.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,
93360,47265,fa5b7ab40af31b65207b5136704c38dd68cfadccebb82b5fef835b2f2b33eb83,F,24.0,182.0,71.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,
93369,47272,1eb927941ec7e1c7a9fc15e8deb2dff1a759e8b4b966fbeef223c285336870ec,M,23.0,166.0,58.0,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
93374,47274,ace725f8df7f4d0133fc6f34aa6c483bcff7c024fae430a072772983210649e0,M,31.0,194.0,99.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
93375,47275,17e803a55668f423dc3c121b191d06d483dac3308e56835073bebe52117ce85e,M,25.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Pairs,Silver
93378,47277,0310c9b7a7b1888aa5987d2da53ea3d0509b0d1e19296247833a72f4371d2178,F,24.0,166.0,60.0,Germany,GER,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 1,000 metres",
93379,47277,0310c9b7a7b1888aa5987d2da53ea3d0509b0d1e19296247833a72f4371d2178,F,24.0,166.0,60.0,Germany,GER,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 1,500 metres",
93380,47277,0310c9b7a7b1888aa5987d2da53ea3d0509b0d1e19296247833a72f4371d2178,F,24.0,166.0,60.0,Germany,GER,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 3,000 metres",
93396,47284,7d3571a32d54f6b71bffbf240191eca4d1d25cd237e1722f1a83125869faed5d,M,22.0,187.0,72.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
93397,47285,97fd4c20a0dac3aec0e4123597a8cf591d4192d9f909313f96837b4c7ac360de,F,27.0,170.0,65.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,
93440,47296,2d8662eaef52869459c1f7e6ff73861dfd6acb3aab2be560846b232f65c2d92a,M,25.0,,,Germany,GER,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
93442,47298,bfe8b60da98fb7b8fd58670d718571f47b7bce47ddcb8cf90ada68d398c6a6c6,M,28.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Freestyle,
93443,47298,bfe8b60da98fb7b8fd58670d718571f47b7bce47ddcb8cf90ada68d398c6a6c6,M,28.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,
93444,47298,bfe8b60da98fb7b8fd58670d718571f47b7bce47ddcb8cf90ada68d398c6a6c6,M,28.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
93447,47300,c57f2a2f514c69003ca8875919929c533afc6ac3998a9f2c99c644b866a33948,M,33.0,187.0,100.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,
93448,47300,c57f2a2f514c69003ca8875919929c533afc6ac3998a9f2c99c644b866a33948,M,37.0,187.0,100.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,
93462,47307,ee6fd262eaf8d2b372b81bcf8916bea9ab50ec8a4fab56a63330140ff482e08a,M,24.0,183.0,83.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Bronze
